target,feature,model,n_folds,AUC_mean,AUC_std,PRAUC_mean,PRAUC_std,F1_mean,F1_std
Gs,handcrafted,LR,25,0.742181751766475,0.1588799399446176,0.5588107071761095,0.21179715832952423,0.49562812863567224,0.1819363047348417
Gs,handcrafted,RF,25,0.6790263561500157,0.12819837301499562,0.47657462087817704,0.20214467154792715,0.188065444359562,0.17790241657987016
Gs,handcrafted,SVM,25,0.7644896708802226,0.13388816418071905,0.6257724761791923,0.20181681732100093,0.4543458033064524,0.222639101935677
Gs,handcrafted,MLP,25,0.6781442594747792,0.17436538452376216,0.5254978071116467,0.2119566443837676,0.32755702075702076,0.2704531863887723
Gs,handcrafted,Ensemble,25,0.7459110119440915,0.13338734256377882,0.5815170312158948,0.21593578223260682,0.3570693064880708,0.2690780181314422
Gs,bw_site,LR,25,0.5945242897759051,0.0760154344054138,0.3220097824808443,0.1315554063347198,0.1989809047396359,0.17704305752040878
Gs,bw_site,RF,25,0.619451044725389,0.10458116867300987,0.34148918730551253,0.1621800760369519,0.20177444218067447,0.18610592430414635
Gs,bw_site,SVM,25,0.46521865960680253,0.07048471490055165,0.2269640829674038,0.11402118009543902,0.005333333333333333,0.026127890589687234
Gs,bw_site,MLP,25,0.5393020129218973,0.08549670668808876,0.26577851050910595,0.10086004044901381,0.0,0.0
Gs,bw_site,Ensemble,25,0.6148544926637043,0.09674234114514185,0.34514396707562695,0.16225305687580535,0.19689855242796422,0.19981195816183486
Gs,combined,LR,25,0.7587088341304613,0.14542901026255353,0.6004185619507293,0.23347582656899904,0.5283595308987151,0.19741815836174018
Gs,combined,RF,25,0.7062017891095438,0.11810532022343967,0.49907424973362446,0.2083195538612904,0.17575056969174616,0.16656137258686124
Gs,combined,SVM,25,0.7761076587884992,0.12748947845221284,0.6554078489712954,0.19391521712534865,0.5064815341521224,0.22093301739875318
Gs,combined,MLP,25,0.7448249829800724,0.12489321537655278,0.613592216496672,0.17369504002188882,0.5080403168270983,0.16488488620841124
Gs,combined,Ensemble,25,0.7902119921934634,0.12539871320354645,0.6578444439695694,0.20197458395695517,0.4539044512020686,0.23136557640153319
Gi,handcrafted,LR,25,0.5451549571528354,0.10148058150452488,0.5431681163388262,0.12037026718489245,0.45466177171782973,0.14238128395097818
Gi,handcrafted,RF,25,0.5801886058004879,0.10001887472893344,0.5768975076386073,0.09925597423108479,0.43666943934833874,0.09656973809120968
Gi,handcrafted,SVM,25,0.5799380063941609,0.10416731818155886,0.5810419889105,0.09802457465139446,0.47520029863947366,0.11144184346315279
Gi,handcrafted,MLP,25,0.5378444231715956,0.0882583688624477,0.5314305555896778,0.11405168993500239,0.42465019369382107,0.0899097913145027
Gi,handcrafted,Ensemble,25,0.545128007560075,0.107593783360791,0.5581356155345253,0.10274977278057978,0.3914171552632931,0.10485074646108593
Gi,bw_site,LR,25,0.5570145180073773,0.07654762484064674,0.5290168708759522,0.10725326016982704,0.6407421347002992,0.1022164403004468
Gi,bw_site,RF,25,0.5501069400305696,0.08465034677691594,0.5176509186234685,0.11701717529695778,0.6273351210237276,0.11096816330741445
Gi,bw_site,SVM,25,0.47841726625859615,0.07759029061064544,0.4724016054513692,0.09899230356139986,0.29529792934845595,0.2734020256021877
Gi,bw_site,MLP,25,0.5344093781787587,0.08368671182394197,0.5059318351521803,0.11813167537784522,0.18041910096091676,0.23631728000935748
Gi,bw_site,Ensemble,25,0.5359289070012206,0.0749477754167242,0.5227691221375682,0.1038707931004402,0.3905978563343207,0.24131625917391497
Gi,combined,LR,25,0.5752483086101828,0.09125835059460513,0.558893058524851,0.11197126601484855,0.476982165455339,0.11612747230478895
Gi,combined,RF,25,0.5885837110093248,0.10122172860107101,0.5790312100665423,0.1004136344587829,0.4171044643623827,0.08952270834567062
Gi,combined,SVM,25,0.5931178145346503,0.09350224679878608,0.5925146499284837,0.10721092856266655,0.45593067440234025,0.13830206264061184
Gi,combined,MLP,25,0.591749544620277,0.08338065851177519,0.5638610588936989,0.12115838266030066,0.4657222122389156,0.11321675987183825
Gi,combined,Ensemble,25,0.55314986436121,0.10107856003749323,0.5591424340632196,0.09864340027559514,0.39498606711025375,0.07758327840525592
Gq,handcrafted,LR,25,0.5819932185913821,0.09550381308255086,0.5151753418896371,0.12710389457468887,0.49416886348771444,0.10636341939353586
Gq,handcrafted,RF,25,0.46833877773608096,0.09782181813441115,0.43869575655945225,0.11873669250433326,0.2175953633489142,0.0897875104376294
Gq,handcrafted,SVM,25,0.5570980180283527,0.09531321750711742,0.48605998932598626,0.13569705069947915,0.38820441879340317,0.10403792891232251
Gq,handcrafted,MLP,25,0.505978403262033,0.08359815132061134,0.4371765991644068,0.13640965340789696,0.3210181043018699,0.12118184537700648
Gq,handcrafted,Ensemble,25,0.5061412537193254,0.0875293712293234,0.44647652847825503,0.12516924650533617,0.3006332420839768,0.11193439754496211
Gq,bw_site,LR,25,0.5424226698728097,0.10148469057795678,0.4383806378390912,0.13172685824788302,0.348320157819358,0.2121386850946821
Gq,bw_site,RF,25,0.5322605459074079,0.08407801827031536,0.44337856921767455,0.1184418434346672,0.2919614967481862,0.21417410824641567
Gq,bw_site,SVM,25,0.4769837896276999,0.040338415982888745,0.39927069454472686,0.0965649333781549,0.01927272727272727,0.06746018109268496
Gq,bw_site,MLP,25,0.501687247524141,0.05510409417150773,0.40968886781739877,0.10390041727361596,0.013856209150326797,0.03753796830493608
