layer,fdr_mean,nonfdr_mean,ratio
0,0.0023042983261708787,0.0023644424527115367,0.9745630829493503
1,0.0020063993349594966,0.002121279502543582,0.945843927004275
2,0.001935503602009766,0.002368793428556587,0.8170841655826256
3,0.0018481544679788981,0.004129921691977693,0.4475035135820877
4,0.0024828856243339975,0.0029946025518786247,0.8291202526279795
5,0.002978192722764953,0.002963868484147119,1.004832953518164
