subfamily,n_test,n_train,loss,Gs_f1,Gs_acc,Gi/o_f1,Gi/o_acc,Gq/11_f1,Gq/11_acc,G12/13_f1,G12/13_acc,min_acc
001_003_002_005,3,736,0.34705811738967896,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_003_002_007,3,736,0.3472729027271271,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_003_002_023,3,736,0.3459199368953705,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_004_002_003,3,736,0.3489737808704376,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_004_002_004,3,736,0.3693435490131378,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_003_001_001,4,735,0.6218379139900208,0.0,0.9999999975,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
001_003_001_002,3,736,0.3558428883552551,0.0,0.9999999966666667,0.0,0.0,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0
001_004_005_001,3,736,0.6922767758369446,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
001_004_005_002,3,736,0.3710055351257324,0.0,0.9999999966666667,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
002_001_002_001,4,735,0.5509541034698486,0.9999999925,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.0,0.9999999975,0.9999999975
002_001_002_002,3,736,0.34739962220191956,0.9999999916666666,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.0,0.9999999966666667,0.9999999966666667
